hostname,apple_chip,gpu_backend,deployment_mode,benchmark_host,ram_gb,est_bw_gbs,model,timestamp,prompt_id,prompt_label,prompt_chars,cold_first_token_ms,cold_tokens_per_sec,cold_eval_count,cold_elapsed_s,warm_first_token_ms,warm_tokens_per_sec,warm_prompt_tokens_per_sec,warm_eval_count,warm_elapsed_s
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:26b,2026-04-30T21:51:05.741080+00:00,p1_ultra_short,Ultra-short (1 token out),29,6417.2,77.58,91,6.42,1116.1,79.34,1319.62,70.5,1.13
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:26b,2026-04-30T21:51:05.741080+00:00,p2_short_factual,Short factual (2 sentences),52,4476.4,77.35,368,5.06,4811.55,76.94,1147.78,400.5,5.46
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:26b,2026-04-30T21:51:05.741080+00:00,p3_structured,Structured output (JSON),122,5297.2,77.18,432,5.95,4016.6,76.83,1933.91,362.0,4.97
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:26b,2026-04-30T21:51:05.741080+00:00,p4_code_short,Short code generation,136,12904.4,75.51,1024,14.07,5648.2,75.43,1506.19,1024.0,14.0
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:26b,2026-04-30T21:51:05.741080+00:00,p5_reasoning,Multi-step reasoning,243,0.0,75.22,1024,14.15,6279.0,75.06,3085.1,1024.0,14.07
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:26b,2026-04-30T21:51:05.741080+00:00,p6_code_long,Long code generation,252,0.0,75.05,1024,14.16,0.0,75.19,3160.86,1024.0,14.04
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:26b,2026-04-30T21:51:05.741080+00:00,p7_architecture,Architecture analysis (long context in),550,0.0,74.97,1024,14.22,0.0,74.37,5939.49,1024.0,14.19
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:26b,2026-04-30T21:51:05.741080+00:00,p8_synthesis,Long synthesis (max output),428,14469.9,73.19,1024,14.53,0.0,73.17,3948.71,1024.0,14.41
