hostname,apple_chip,gpu_backend,deployment_mode,benchmark_host,ram_gb,est_bw_gbs,model,timestamp,prompt_id,prompt_label,prompt_chars,cold_first_token_ms,cold_tokens_per_sec,cold_eval_count,cold_elapsed_s,warm_first_token_ms,warm_tokens_per_sec,warm_prompt_tokens_per_sec,warm_eval_count,warm_elapsed_s
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:e4b,2026-04-30T21:44:56.367264+00:00,p1_ultra_short,Ultra-short (1 token out),29,3902.7,134.56,2,3.91,178.6,154.34,981.69,2.0,0.19
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:e4b,2026-04-30T21:44:56.367264+00:00,p2_short_factual,Short factual (2 sentences),52,2626.0,76.67,244,3.44,3312.45,76.7,1106.34,298.0,4.12
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:e4b,2026-04-30T21:44:56.367264+00:00,p3_structured,Structured output (JSON),122,226.3,77.49,70,1.15,1409.55,78.96,1779.37,171.5,2.4
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:e4b,2026-04-30T21:44:56.367264+00:00,p4_code_short,Short code generation,136,0.0,75.73,1024,13.96,10509.25,75.42,1707.09,1024.0,13.98
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:e4b,2026-04-30T21:44:56.367264+00:00,p5_reasoning,Multi-step reasoning,243,12385.9,75.16,1024,14.13,12094.65,75.23,3497.9,1024.0,14.03
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:e4b,2026-04-30T21:44:56.367264+00:00,p6_code_long,Long code generation,252,5928.2,75.09,1024,14.12,2291.7,75.0,3082.19,1024.0,14.07
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:e4b,2026-04-30T21:44:56.367264+00:00,p7_architecture,Architecture analysis (long context in),550,11857.2,74.62,1024,14.26,4208.6,74.71,5746.15,1024.0,14.13
Tims-MBP.attlocal.net,Apple M4 Max,Metal — Apple M4 Max,hybrid,http://localhost:11434,36.0,546,gemma4:e4b,2026-04-30T21:44:56.367264+00:00,p8_synthesis,Long synthesis (max output),428,5360.3,74.92,1024,14.18,5199.05,74.76,3778.99,1024.0,14.12
